FY,Source,Base.FY,Public.Law.Title,dod.deflator.Value
1982,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,45.77
1983,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,47.9
1984,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,49.5
1985,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,51.02
1986,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,52.64
1987,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,54.42
1988,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,56.54
1989,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,58.58
1990,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,60.51
1991,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,62.15
1992,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,63.53
1993,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,64.77
1994,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,65.93
1995,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,66.99
1996,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,67.91
1997,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,68.7
1998,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,69.47
1999,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,70.45
2e3,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,71.5
2001,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,72.57
2002,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,73.8
2003,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,75.38
2004,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,77.31
2005,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,79.35
2006,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,81.23
2007,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,82.85
2008,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,84.14
2009,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,85.34
2010,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,86.69
2011,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,88.12
2012,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,89.45
2013,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,90.69
2014,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,91.93
2015,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,93.24
2016,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,94.73
2017,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,96.38
2018,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,98.13
2019,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,100
2020,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,101.98
2021,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,104.02
2022,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,106.1
2023,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,108.22
1970,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,17.61
1971,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,18.53
1972,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,19.54
1973,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,20.87
1974,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,22.98
1975,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,25.29
1976,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,27.97
1977,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,29.45
1978,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,32
1979,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,35.63
1980,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,38.94
1981,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,42.21
1982,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,44.47
1983,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,46.19
1984,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,47.91
1985,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,49.43
1986,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,50.72
1987,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,52.35
1988,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,54.45
1989,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,56.71
1990,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,58.88
1991,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,60.9
1992,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,62.49
1993,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,63.44
1994,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,64.7
1995,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,66.03
1996,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,67.3
1997,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,68.27
1998,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,69.11
1999,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,69.96
2e3,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,71.28
2001,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,72.46
2002,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,73.51
2003,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,74.88
2004,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,76.8
2005,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,79.06
2006,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,81.28
2007,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,83.2
2008,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,84.93
2009,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,86.15
2010,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,87.37
2011,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,89
2012,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,90.35
2013,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,91.47
2014,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,92.61
2015,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,93.73
2016,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,95.07
2017,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,96.7
2018,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,98.39
2019,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,100
2020,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,101.9
2021,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,103.95
2022,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,106.04
2023,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,RDT.E,108.17
1970,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,18.87
1971,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,20.85
1972,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,22.5
1973,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,25.03
1974,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,28.02
1975,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,30.74
1976,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,33.03
1977,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,33.56
1978,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,35.81
1979,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,39.01
1980,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,41.24
1981,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,43.69
1982,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,45.53
1983,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,46.68
1984,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,48.2
1985,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,50.02
1986,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,51.5
1987,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,53.3
1988,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,55.57
1989,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,57.6
1990,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,59.2
1991,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,60.84
1992,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,62.34
1993,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,63.53
1994,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,64.9
1995,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,65.95
1996,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,67.11
1997,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,67.77
1998,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,68.59
1999,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,69.75
2e3,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,70.85
2001,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,72.15
2002,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,73.75
2003,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,75.59
2004,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,77.62
2005,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,79.56
2006,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,81.27
2007,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,82.71
2008,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,84
2009,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,85.4
2010,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,86.43
2011,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,87.94
2012,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,89.16
2013,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,90.36
2014,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,91.62
2015,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,93.12
2016,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,94.59
2017,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,96.28
2018,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,98.16
2019,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,100
2020,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,101.96
2021,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,104.01
2022,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,106.09
2023,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Construction,108.22
1970,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,17.03
1971,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,18.2
1972,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,19.08
1973,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,19.9
1974,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,21.23
1975,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,24.03
1976,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,25.81
1977,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,28.01
1978,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,29.98
1979,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,33.86
1980,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,39.11
1981,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,42.68
1982,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,45.83
1983,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,47.12
1984,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,48.32
1985,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,49.82
1986,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,51.14
1987,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,52.84
1988,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,54.76
1989,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,56.83
1990,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,58.8
1991,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,61.16
1992,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,62.56
1993,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,63.88
1994,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,65.2
1995,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,66.09
1996,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,67.45
1997,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,68.38
1998,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,69.09
1999,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,70.03
2e3,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,70.99
2001,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,72.31
2002,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Family.Housing,73.34
