FY,Service,Active.or.Civilians,Personnel
1968,Defense Agencies,Civilians,75000
1969,Defense Agencies,Civilians,72000
1970,Defense Agencies,Civilians,68000
1971,Defense Agencies,Civilians,63000
1972,Defense Agencies,Civilians,60000
1973,Defense Agencies,Civilians,72000
1974,Defense Agencies,Civilians,75000
1975,Defense Agencies,Civilians,73000
1976,Defense Agencies,Civilians,72000
1977,Defense Agencies,Civilians,77000
1978,Defense Agencies,Civilians,77000
1979,Defense Agencies,Civilians,77000
1980,Defense Agencies,Civilians,77000
1981,Defense Agencies,Civilians,80000
1982,Defense Agencies,Civilians,82000
1983,Defense Agencies,Civilians,83000
1984,Defense Agencies,Civilians,87000
1985,Defense Agencies,Civilians,92000
1986,Defense Agencies,Civilians,94000
1987,Defense Agencies,Civilians,98000
1988,Defense Agencies,Civilians,96000
1989,Defense Agencies,Civilians,99000
1990,Defense Agencies,Civilians,103000
1991,Defense Agencies,Civilians,117000
1992,Defense Agencies,Civilians,149000
1993,Defense Agencies,Civilians,156000
1994,Defense Agencies,Civilians,156000
1995,Defense Agencies,Civilians,147000
1996,Defense Agencies,Civilians,138000
1997,Defense Agencies,Civilians,136000
1998,Defense Agencies,Civilians,126000
1999,Defense Agencies,Civilians,120000
2000,Defense Agencies,Civilians,117000
2001,Defense Agencies,Civilians,113000
2002,Defense Agencies,Civilians,111000
2003,Defense Agencies,Civilians,107000
2004,Defense Agencies,Civilians,108000
2005,Defense Agencies,Civilians,108000
2006,Defense Agencies,Civilians,107000
2007,Defense Agencies,Civilians,107000
2008,Defense Agencies,Civilians,110000
2009,Defense Agencies,Civilians,115000
2010,Defense Agencies,Civilians,121000
2011,Defense Agencies,Civilians,127000
2012,Defense Agencies,Civilians,134000
2013,Defense Agencies,Civilians,129000
2014,Defense Agencies,Civilians,189000
2015,Defense Agencies,Civilians,187000
2016,Defense Agencies,Civilians,189000
2017,Defense Agencies,Civilians,191000
2018,Defense Agencies,Civilians,193000
2019,Defense Agencies,Civilians,216000
2020,Defense Agencies,Civilians,220000
2021,Defense Agencies,Civilians,214000
2022,Defense Agencies,Civilians,215000
NA,Defense Agencies,Civilians,NA
