FY,econ.deflator.name,econ.deflator.value,Deflator.Base.Year,Deflator.Source
1996,Total.Department.of.Defense,0.5497,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1997,Total.Department.of.Defense,0.5632,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1998,Total.Department.of.Defense,0.5797,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1999,Total.Department.of.Defense,0.596,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2000,Total.Department.of.Defense,0.611,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2001,Total.Department.of.Defense,0.6319,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2002,Total.Department.of.Defense,0.6474,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2003,Total.Department.of.Defense,0.6701,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2004,Total.Department.of.Defense,0.6907,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2005,Total.Department.of.Defense,0.7184,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2006,Total.Department.of.Defense,0.7426,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2007,Total.Department.of.Defense,0.7624,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2008,Total.Department.of.Defense,0.7846,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2009,Total.Department.of.Defense,0.7968000000000001,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2010,Total.Department.of.Defense,0.8149,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2011,Total.Department.of.Defense,0.8301000000000001,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2012,Total.Department.of.Defense,0.8434999999999999,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2013,Total.Department.of.Defense,0.8567,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2014,Total.Department.of.Defense,0.8672,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2015,Total.Department.of.Defense,0.8768,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2016,Total.Department.of.Defense,0.8856999999999999,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2017,Total.Department.of.Defense,0.9036,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2018,Total.Department.of.Defense,0.9235,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2019,Total.Department.of.Defense,0.9425,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2020,Total.Department.of.Defense,0.9609000000000001,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2021,Total.Department.of.Defense,0.9777,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2022,Total.Department.of.Defense,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2023,Total.Department.of.Defense,NA,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2024,Total.Department.of.Defense,NA,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2025,Total.Department.of.Defense,NA,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2026,Total.Department.of.Defense,NA,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1970,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1971,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1972,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1973,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1974,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1975,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1976,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1977,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1978,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1979,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1980,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1981,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1982,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1983,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1984,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1985,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1986,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1987,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1988,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1989,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1990,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1991,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1992,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1993,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1994,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1995,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1996,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1997,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1998,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1999,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2000,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2001,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2002,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2003,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2004,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2005,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2006,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2007,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2008,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2009,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2010,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2011,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2012,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2013,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2014,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2015,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2016,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2017,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2018,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2019,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2020,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2021,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2022,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2023,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2024,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2025,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
2026,No.Deflator,1,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
